Дашборд: Tаблица 3-1-1-1-1-1-5
;СУДАК;;ЩУКА;;ГОЛАВЛЬ;;ОКУНЬ;;ЖЕРЕХ;;ПЛОТВА;;КРАСНОПЁРКА;;УКЛЕЙКА;;ЁРШ;;ПЕСКАРЬ;
;169;;194;;27;;2088;;2;;73;;12;;13;;100;;1;
;3600 гр.;;2455 гр.;;1280 гр.;;950 гр.;;910 гр.;;350 гр.;;200 гр.;;65 гр.;;55 гр.;;35 гр.;

Дашборд: Tаблица 1-1
2 679
Общий улов шт.

Дашборд: Средний улов за выезд шт.
6

Дашборд: Максимальный улов шт.
90

Дашборд: Рыбалок
456

Дашборд: Tаблица 1-2
1
2
3
4
5
6
7
8
9
10

Данные: Справочник
Tioga 2.4 #PA03;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 2.9 #PA01;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 2.9 #T45;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 3.4 #033;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 3.4 #T44;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 3.4 #T48;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 4 #S26;Lucky John;Силиконовые приманки;Виброхвосты;
Troutino 1.7 #071;Lucky John;Силиконовые приманки;Слаги;
Troutino 1.7 #S20;Lucky John;Силиконовые приманки;Слаги;
Ultra Worm 1.4 #S63;Lucky John;Силиконовые приманки;Слаги;
Ultra Worm 2 #PA03;Lucky John;Силиконовые приманки;Слаги;
Ultra Worm 2 #S15;Lucky John;Силиконовые приманки;Слаги;
Unagi Slug 3 #F04;Lucky John;Силиконовые приманки;Слаги;
Mad Spin №3 (15г) #S;Lucky John;Блёсны;Вращающиеся блёсны;
Spin-X Long №2 (4г) #SR;Lucky John;Блёсны;Вращающиеся блёсны;
Spin-X Round №2 (5г) #GR;Lucky John;Блёсны;Вращающиеся блёсны;
Trian Blade Long (9г) #008;Lucky John;Блёсны;Вращающиеся блёсны;
S-4 67мм (11г) #S;Lucky John;Блёсны;Зимние блёсны;
Vib 58S (10г) #320;Lucky John;Воблеры;Вибы;
Pennon 11 #Зел./Бел./Кр.;Lucky John;Мандулы;Мандулы;
Billy 4 #01;Mann’S;Силиконовые приманки;Виброхвосты;
Lucky 2.5 #01;Mann’S;Силиконовые приманки;Твистеры;
Lucky 2.5 #15;Mann’S;Силиконовые приманки;Твистеры;
Lucky 2.5 #86;Mann’S;Силиконовые приманки;Твистеры;
Lucky 2.5 #87;Mann’S;Силиконовые приманки;Твистеры;
Lucky 3 #01;Mann’S;Силиконовые приманки;Твистеры;
Nica 2 #01;Mann’S;Силиконовые приманки;Твистеры;
Nica 2 #16;Mann’S;Силиконовые приманки;Твистеры;
Spirit 3.5 #01;Mann’S;Силиконовые приманки;Виброхвосты;
MJ-1Minnow S50SP (2.7г) 0.5м #BBH;Maria;Воблеры;Минноу;
M.M. Minnow 48F (1.9г) 1м #GGN;Masu Masters;Воблеры;Минноу;
Knuckle 60F (10.6г) 0.3-0.9м #PM Tannin Water Secret;Megabass;Воблеры;Крэнки;
Vision Oneten 110F (14г) 1.5м #Mat Tiger;Megabass;Воблеры;Минноу;
Vision Oneten 110F (14г) 1.5м #MB Gizzard;Megabass;Воблеры;Минноу;
Baby POPX 50F (5.3г)#Mat Tiger;Megabass;Воблеры;Попперы;
Deep-X150 64F (14г) 4.2м #Mat Tiger;Megabass;Воблеры;Крэнки;
Giant Dog-X 98F (14г) 0.2м #Spook Killer;Megabass;Воблеры;Уокеры;
Pop Max 78F (14г) #PM Wild Gill;Megabass;Воблеры;Попперы;
X-140F (17.7г) 0.6м #Aka Tora;Megabass;Воблеры;Минноу;
XJ-100 F (14г) 0.4м #M Mossback Golenshad OB;Megabass;Воблеры;Составной минноу;
Vision 100 Miyabi (17.4г) 0.6м #PM F Kisyu Ayu;Megabass;Воблеры;Минноу;
Aglia Fluo №4 (9г) #Chartreuse;Mepps;Блёсны;Вращающиеся блёсны;
Aglia Long №1 (4.5г) #AG;Mepps;Блёсны;Вращающиеся блёсны;
Aglia Long №1+ (6г) #AG;Mepps;Блёсны;Вращающиеся блёсны;
Aglia Long №2 (7г) #AG;Mepps;Блёсны;Вращающиеся блёсны;
Aglia №0 (2.5г) #AG;Mepps;Блёсны;Вращающиеся блёсны;
Aglia №0 (2.5г) #OR;Mepps;Блёсны;Вращающиеся блёсны;
Aglia №2 (4.5г) #BlancRougeAG;Mepps;Блёсны;Вращающиеся блёсны;
Aglia №2 (4.5г) #CU;Mepps;Блёсны;Вращающиеся блёсны;
Comet PTS №1 (3.5г) #Silver/RedDots;Mepps;Блёсны;Вращающиеся блёсны;
Comet PTS №3 (6.5г) #Silver/BlueDots;Mepps;Блёсны;Вращающиеся блёсны;
XD №2 (5г) #OR;Mepps;Блёсны;Вращающиеся блёсны;
Syclops №0 (8г) #AG/NR;Mepps;Блёсны;Колеблющиеся блёсны;
Agat (5г) #Koppar;Myran;Блёсны;Вращающиеся блёсны;
Agat (5г) #Silver;Myran;Блёсны;Вращающиеся блёсны;
Akka (3г) #Silver;Myran;Блёсны;Вращающиеся блёсны;
Akka (5г) #Silver;Myran;Блёсны;Вращающиеся блёсны;
Mira (5г) #Guld;Myran;Блёсны;Вращающиеся блёсны;
Panter (3г) #Silver;Myran;Блёсны;Вращающиеся блёсны;
Toni (5г) #Guld;Myran;Блёсны;Вращающиеся блёсны;
Toni (5г) #Koppar;Myran;Блёсны;Вращающиеся блёсны;
Toni (5г) #Silver;Myran;Блёсны;Вращающиеся блёсны;
Laydown Minnow MID 110SP (18г) 1м #BR175M;Nories;Воблеры;Минноу;
Pontoon 21 Paco 48мм (10.5г)  #S86;Pontoon 21;Блёсны;Колеблющиеся блёсны;
Bet-A-Shad 63SP (7.7г) 0.4м #012;Pontoon 21;Воблеры;Шэды;
